ID,fk_team_home,fk_team_guest,goals_team_home,goals_team_guest,state,fk_hall,fk_category,start_date,flag_placeholder,type,duration
1,11,12,0,0,0,1,1,08:36:00,0,0,720000
2,13,15,0,0,0,1,1,08:48:00,0,0,720000
3,14,16,0,0,0,1,1,09:00:00,0,0,720000
4,31,32,0,0,0,1,3,09:12:00,0,0,720000
5,33,35,0,0,0,1,3,09:24:00,0,0,720000
6,34,36,0,0,0,1,3,09:36:00,0,0,720000
7,12,13,0,0,0,1,1,09:48:00,0,0,720000
8,15,14,0,0,0,1,1,10:00:00,0,0,720000
9,16,11,0,0,0,1,1,10:12:00,0,0,720000
10,32,33,0,0,0,1,3,10:24:00,0,0,720000
11,35,34,0,0,0,1,3,10:36:00,0,0,720000
12,36,31,0,0,0,1,3,10:48:00,0,0,720000
13,21,25,0,0,0,1,2,11:00:00,0,0,720000
14,41,42,0,0,0,1,4,11:12:00,0,0,720000
15,22,26,0,0,0,1,2,11:24:00,0,0,720000
16,23,27,0,0,0,1,2,11:36:00,0,0,720000
17,24,28,0,0,0,1,2,11:48:00,0,0,720000
18,42,43,0,0,0,1,4,12:00:00,0,0,720000
19,26,21,0,0,0,1,2,12:12:00,0,0,720000
20,27,22,0,0,0,1,2,12:24:00,0,0,720000
21,28,23,0,0,0,1,2,12:36:00,0,0,720000
22,25,24,0,0,0,1,2,12:48:00,0,0,720000
23,43,41,0,0,0,1,4,13:00:00,0,0,720000
24,1001,1008,0,0,0,1,1,13:24:00,1,1,720000
25,1002,1009,0,0,0,1,2,13:36:00,1,1,720000
26,1003,1010,0,0,0,1,3,13:48:00,1,1,720000
27,1004,1011,0,0,0,1,1,14:12:00,1,2,720000
28,1005,1012,0,0,0,1,2,14:24:00,1,2,720000
29,1006,1013,0,0,0,1,3,14:36:00,1,2,720000
30,1007,1014,0,0,0,1,4,14:48:00,1,2,720000
31,42,41,0,0,0,2,4,08:36:00,0,0,720000
32,21,27,0,0,0,2,2,08:48:00,0,0,720000
33,22,28,0,0,0,2,2,09:00:00,0,0,720000
34,23,25,0,0,0,2,2,09:12:00,0,0,720000
35,24,26,0,0,0,2,2,09:24:00,0,0,720000
36,43,42,0,0,0,2,4,09:36:00,0,0,720000
37,28,21,0,0,0,2,2,09:48:00,0,0,720000
38,25,22,0,0,0,2,2,10:00:00,0,0,720000
39,26,23,0,0,0,2,2,10:12:00,0,0,720000
40,41,43,0,0,0,2,4,10:24:00,0,0,720000
41,27,24,0,0,0,2,2,10:36:00,0,0,720000
42,11,15,0,0,0,2,1,10:48:00,0,0,720000
43,12,16,0,0,0,2,1,11:00:00,0,0,720000
44,13,14,0,0,0,2,1,11:12:00,0,0,720000
45,31,35,0,0,0,2,3,11:24:00,0,0,720000
46,32,36,0,0,0,2,3,11:36:00,0,0,720000
47,33,34,0,0,0,2,3,11:48:00,0,0,720000
48,14,11,0,0,0,2,1,12:00:00,0,0,720000
49,16,13,0,0,0,2,1,12:12:00,0,0,720000
50,15,12,0,0,0,2,1,12:24:00,0,0,720000
51,34,31,0,0,0,2,3,12:36:00,0,0,720000
52,36,33,0,0,0,2,3,12:48:00,0,0,720000
53,35,32,0,0,0,2,3,13:00:00,0,0,720000
54,1015,1021,0,0,0,2,1,13:24:00,1,1,720000
55,1016,1022,0,0,0,2,2,13:36:00,1,1,720000
56,1017,1023,0,0,0,2,3,13:48:00,1,1,720000
57,1018,1024,0,0,0,2,1,14:12:00,1,2,720000
58,1019,1025,0,0,0,2,2,14:24:00,1,2,720000
59,1020,1026,0,0,0,2,3,14:36:00,1,2,720000